127.0.0.1 - - [29/Apr/2024:10:23:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:23:19 +0900] "GET /BookStore_yhj/main.jsp HTTP/1.1" 200 9568
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:23:19 +0900] "GET /BookStore_yhj/resource/img/main_banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:23:19 +0900] "GET /BookStore_yhj/resource/img/main_banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:23:19 +0900] "GET /BookStore_yhj/resource/icon/tree-solid.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:23:19 +0900] "GET /BookStore_yhj/resource/img/%EC%BD%94%EC%8A%A4%EB%AA%A8%EC%8A%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:23:19 +0900] "GET /BookStore_yhj/resource/img/%EB%82%98%EB%8A%94%20%EC%99%9C%20%EB%AC%B4%EA%B8%B0%EB%A0%A5%EC%9D%84%20%EB%90%98%ED%92%80%EC%9D%B4%20%ED%95%98%EB%8A%94%EA%B0%80.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:23:19 +0900] "GET /BookStore_yhj/resource/img/%EB%82%98%EC%81%9C%ED%8E%98%EB%AF%B8%EB%8B%88%EC%8A%A4%ED%8A%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:23:19 +0900] "GET /BookStore_yhj/resource/img/%EB%A7%90%EC%9D%84%20%EB%B6%80%EC%88%98%EB%8A%94%20%EB%A7%90.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:23:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:33:08 +0900] "GET /BookStore_yhj/member/postcode.jsp HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:33:12 +0900] "GET /BookStore_yhj/member/postcode.jsp HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:33:55 +0900] "GET /BookStore_yhj/member/postcode.jsp HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:34:03 +0900] "GET /BookStore_yhj/member/postcode.jsp HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:37:51 +0900] "GET /BookStore_yhj/member/postcode.jsp HTTP/1.1" 200 3230
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:37:59 +0900] "GET /BookStore_yhj/member/postcode.jsp HTTP/1.1" 200 3230
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:38:11 +0900] "GET /BookStore_yhj/member/postcode.jsp HTTP/1.1" 200 3230
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:38:47 +0900] "GET /BookStore_yhj/member/postcode.jsp HTTP/1.1" 200 3211
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:38:57 +0900] "GET /BookStore_yhj/member/postcode.jsp HTTP/1.1" 200 3211
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:38:57 +0900] "GET /BookStore_yhj/member/postcode.jsp HTTP/1.1" 200 3211
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:39:16 +0900] "GET /BookStore_yhj/member/postcode.jsp HTTP/1.1" 200 3223
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:39:32 +0900] "GET /BookStore_yhj/member/postcode.jsp HTTP/1.1" 200 3223
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:42:24 +0900] "GET /BookStore_yhj/member/login.jsp HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:42:24 +0900] "GET /BookStore_yhj/member/login.js HTTP/1.1" 200 2551
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:42:44 +0900] "GET /BookStore_yhj/member/login.jsp HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:42:44 +0900] "GET /BookStore_yhj/member/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:43:50 +0900] "GET /BookStore_yhj/member/login.jsp HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:43:50 +0900] "GET /BookStore_yhj/member/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:45:14 +0900] "GET /BookStore_yhj/member/login.jsp HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:45:14 +0900] "GET /BookStore_yhj/member/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:10:45:53 +0900] "GET /BookStore_yhj/member/login.jsp HTTP/1.1" 200 497
