127.0.0.1 - - [02/May/2024:09:24:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/May/2024:09:24:15 +0900] "GET /BookStore_yhj/bookstore/member/register.jsp HTTP/1.1" 200 16305
0:0:0:0:0:0:0:1 - - [02/May/2024:09:24:15 +0900] "GET /BookStore_yhj/bookstore/member/register.jsp HTTP/1.1" 200 16305
0:0:0:0:0:0:0:1 - - [02/May/2024:09:24:15 +0900] "GET /BookStore_yhj/resource/img/%EC%96%B4%EC%A9%8C%EB%8B%A4%EC%82%B0%EC%B1%85_%EB%B3%B8%EB%AA%85%EC%A1%B0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:09:24:15 +0900] "GET /BookStore_yhj/resource/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:09:24:15 +0900] "GET /BookStore_yhj/resource/icon/tree-solid.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:09:24:15 +0900] "GET /BookStore_yhj/bookstore/member/script.js HTTP/1.1" 200 4934
0:0:0:0:0:0:0:1 - - [02/May/2024:09:24:15 +0900] "GET /BookStore_yhj/bookstore/member/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2024:09:24:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/May/2024:09:24:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/May/2024:09:24:18 +0900] "GET /BookStore_yhj/bookstore/member/id_check_proc.jsp?userid=yhj3939 HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [02/May/2024:09:24:18 +0900] "GET /BookStore_yhj/bookstore/member/id_check_proc.jsp?userid=yhj3939 HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [02/May/2024:09:25:17 +0900] "GET /BookStore_yhj/bookstore/member/register.jsp HTTP/1.1" 200 16305
